nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
ABDULLA SAOUD,80kg,https://id.asiangames2018.id/athletes/athlete/SAOUD-Abdulla-3002471/,Qatar,QAT,Boling,Qatar,DOHA,170CM,10/25/1995,
ZHIBEK SAPARBEKOVA,48kg,https://id.asiangames2018.id/athletes/athlete/SAPARBEKOVA-Zhibek-3006113/,Kyrgyzstan,KGZ,Judo,Kyrgyzstan,BISHKEK,168CM,03/29/1998,
ZYYAMUHAMMET SAPAROV,78kg,https://id.asiangames2018.id/athletes/athlete/SAPAROV-Zyyamuhammet-3009344/,Turkmenistan,TKM,Gulat,Turkmenistan,,176CM,05/21/2000,
ZARINA SAPAROVA,52kg,https://id.asiangames2018.id/athletes/athlete/SAPAROVA-Zarina-3008870/,Turkmenistan,TKM,Kurash,Turkmenistan,,162CM,05/21/1989,
KORNKARNJANA SAPIANCHAI,60kg,https://id.asiangames2018.id/athletes/athlete/SAPIANCHAI-Kornkarnjana-3005973/,Thailand,THA,Renang  ,Thailand,BANGKOK,173CM,05/20/1997,
IMA SAPITRI,55kg,https://id.asiangames2018.id/athletes/athlete/SAPITRI-Ima-3020261/,Indonesia,INA,Anggar,Indonesia,,155CM,04/13/1994,
JULIUS SAPUTERA,68kg,https://id.asiangames2018.id/athletes/athlete/SAPUTERA-Julius-3017583/,Indonesia,INA,Ju-Jitsu,Indonesia,,170CM,01/07/1984,
ANDOSPA ALDO SAPUTRA SAPUTRA,78kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Andospa-Aldo-Saputra-3020913/,Indonesia,INA,Bisbol ,Indonesia,,174CM,06/18/1981,
DEDI SAPUTRA,68kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Dedi-3019654/,Indonesia,INA,Kano/Kayak Sprint,Indonesia,,170CM,01/28/1989,
HERMAN TRI SAPUTRA,95kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Herman-Tri-3028579/,Indonesia,INA,Ju-Jitsu,Indonesia,,185CM,07/26/1980,
I GUSTI BAGUS SAPUTRA,80kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-I-Gusti-Bagus-3019879/,Indonesia,INA,Balap Sepeda BMX,Indonesia,,169CM,05/24/1993,
IRAWAN SAPUTRA,70kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Irawan-3020795/,Indonesia,INA,Menembak,Indonesia,,169CM,01/01/1988,
LULUT GILANG SAPUTRA,80kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Lulut-Gilang-3025230/,Indonesia,INA,Gulat,Indonesia,,172CM,05/07/1996,
NANDA DWI SAPUTRA SAPUTRA,76kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Nanda-Dwi-Saputra-3020956/,Indonesia,INA,Bisbol ,Indonesia,,173CM,03/23/1988,
Ricky Fajrin Saputra,73kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Ricky-Fajrin-3020395/,Indonesia,INA,Sepak Bola,NA,,175CM,09/06/1995,
SYAHRUL SAPUTRA,73kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRA-Syahrul-3019751/,Indonesia,INA,Kano/Kayak Sprint,Indonesia,,174CM,01/20/1990,
WA ODE SITTI SAPUTRIANI,56kg,https://id.asiangames2018.id/athletes/athlete/SAPUTRIANI-Wa-Ode-Sitti-3018206/,Indonesia,INA,Sofbol,Indonesia,,168CM,03/24/1996,
SAPWATURRAHMAN SAPWATURRAHMAN,72kg,https://id.asiangames2018.id/athletes/athlete/SAPWATURRAHMAN-Sapwaturrahman-3023773/,Indonesia,INA,Atletik,Indonesia,,176CM,05/13/1994,
Hanif Saqib,-,https://id.asiangames2018.id/athletes/athlete/SAQIB-Hanif-9953649/,Pakistan,PAK,Sepak Bola,NA,,-,-,
Supachok Sarachat,64kg,https://id.asiangames2018.id/athletes/athlete/SARACHAT-Supachok-3011240/,Thailand,THA,Sepak Bola,NA,,169CM,05/22/1998,
Varistha Saraikarn,55kg,https://id.asiangames2018.id/athletes/athlete/SARAIKARN-Varistha-3007829/,Thailand,THA,Polo Air,NA,,162CM,10/19/1994,
